id,name,experiences_offered,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,street,neighbourhood,neighbourhood_cleansed,city,state,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,factor_city
175576,Private Apartment - Queen Anne Hill,none,239585,Ray & Eileen,2010-09-19,within a few hours,1.00,1.00,TRUE,Queen Anne,1,1,"    email  ,   phone  ,   reviews  ,   kba    ",TRUE,TRUE,"1st Ave W, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,House,Entire home/apt,2,1,1,1,Real Bed,"""Cable TV"",""Wireless Internet"",""Kitchen"",""Free Parking on Premises"",""Heating"",""Washer"",""Dryer"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",""Essentials"",""Shampoo"",""24-Hour Check-in"",Hangers,""Hair""Dryer"""",Iron,""Laptop Friendly Workspace""",NA,$95.00 ,$595.00 ,NA,NA,$15.00 ,2,$15.00 ,3,7,a week ago,TRUE,0,0,0,153,1/4/2016,181,2011-07-21,2015-11-25,97,10,10,10,10,10,10,FALSE,NA,FALSE,moderate,TRUE,FALSE,1,3.33,Seattle
4454295,Upper Queen Anne Craftsman House,none,4606439,Nadia,2013-01-06,within a few hours,1.00,1.00,FALSE,Queen Anne,1,1,"    email  ,   phone  ,   facebook  ,   reviews  ,   kba    ",TRUE,TRUE,"3rd Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,House,Entire home/apt,2,1,1,1,Real Bed,"""Cable TV"",""Wireless Internet"",""Kitchen"",""Free Parking on Premises"",""Indoor Fireplace"",""Heating"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",""Essentials"",""Shampoo""",NA,$99.00 ,$800.00 ,"$2,000.00 ",$500.00 ,$150.00 ,1,$0.00 ,3,1125,a week ago,TRUE,21,21,21,229,1/4/2016,8,2015-05-06,2015-12-16,97,10,10,9,10,10,9,FALSE,NA,FALSE,strict,FALSE,FALSE,1,0.98,Seattle
3883392,Open Plan 2bdr/1bath in Queen Anne,none,19932967,Pat & Roberta,2014-08-13,within an hour,1.00,1.00,TRUE,NA,1,1,"    email  ,   phone  ,   linkedin  ,   reviews  ,   jumio    ",TRUE,TRUE,"West Howe Street, Seattle, WA 98119, United States",NA,West Queen Anne,Seattle,WA,98119,Apartment,Entire home/apt,4,1,2,3,Real Bed,"""Cable TV"",""Wireless Internet"",""Kitchen"",""Free Parking on Premises"",""Buzzer/Wireless Intercom"",""Heating"",""Family/Kid Friendly"",""Washer"",""Dryer"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",""Essentials"",""Shampoo""",NA,$245.00 ,"$1,575.00 ","$5,800.00 ",$300.00 ,$95.00 ,1,$0.00 ,3,14,2 weeks ago,TRUE,30,60,90,362,1/4/2016,13,2014-11-09,2015-10-02,98,10,10,10,10,10,10,FALSE,NA,FALSE,moderate,FALSE,FALSE,1,0.92,Seattle
8889257,Elegance in Historic Queen Anne,none,25899989,Ellie,2015-01-10,within an hour,1.00,1.00,FALSE,Queen Anne,1,1,"    email  ,   phone  ,   reviews  ,   kba    ",TRUE,TRUE,"West Prospect Street, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,House,Entire home/apt,5,1,2,3,Real Bed,"""Cable TV"",""Wireless Internet"",""Kitchen"",""Heating"",""Family/Kid Friendly"",""Washer"",""Dryer"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",""Essentials"",""Shampoo""",NA,$165.00 ,NA,"$5,000.00 ",$400.00 ,$85.00 ,4,$20.00 ,2,1125,today,TRUE,13,40,63,337,1/4/2016,3,2015-12-16,2016-01-02,100,10,10,9,9,10,10,FALSE,NA,FALSE,strict,FALSE,FALSE,1,3,Seattle
5680462,Stunning 6 bd in THE BEST Location!,none,22372266,Sarah,2014-10-10,within an hour,1.00,1.00,FALSE,Queen Anne,1,1,"    email  ,   phone  ,   facebook  ,   reviews  ,   kba    ",TRUE,TRUE,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,House,Entire home/apt,16,3.5,6,15,Real Bed,"""Cable TV"",""Wireless Internet"",""Kitchen"",""Free Parking on Premises"",""Indoor Fireplace"",""Heating"",""Family/Kid Friendly"",""Suitable for Events"",""Washer"",""Dryer"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",""Essentials"",""Shampoo""",NA,$461.00 ,NA,NA,"$1,500.00 ",$300.00 ,8,$50.00 ,3,29,5 days ago,TRUE,19,40,65,327,1/4/2016,18,2015-06-15,2015-11-15,98,9,10,10,10,10,10,FALSE,NA,TRUE,strict,FALSE,FALSE,1,2.65,Seattle
8988178,"Lovely Queen Anne Cottage, 2 BR",none,2983711,Paige,2012-07-18,within a few hours,1.00,1.00,FALSE,NA,1,1,"    email  ,   reviews  ,   kba    ",TRUE,FALSE,"12th Avenue West, Seattle, WA 98119, United States",NA,West Queen Anne,Seattle,WA,98119,House,Entire home/apt,5,1,2,2,Real Bed,"""Cable TV"",""Kitchen"",""Free Parking on Premises"",""Heating"",""Family/Kid Friendly"",""Washer"",""Dryer"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",""Essentials""",NA,$109.00 ,NA,NA,NA,$89.00 ,1,$0.00 ,3,15,3 days ago,TRUE,30,60,69,69,1/4/2016,1,2015-11-25,2015-11-25,80,8,10,8,8,8,8,FALSE,NA,FALSE,strict,FALSE,FALSE,1,0.73,Seattle
3245876,Park Life in Lower Queen Anne,none,9465817,Libby,2013-10-16,within an hour,1.00,1.00,FALSE,Queen Anne,1,1,"    email  ,   phone  ,   facebook  ,   linkedin  ,   reviews  ,   jumio    ",TRUE,TRUE,"West Mercer Place, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,Apartment,Private room,2,1,1,1,Real Bed,"""Wireless Internet"",""Pets Allowed"",Breakfast,""Pets live on this property"",""Cat(s)"",""Heating"",""Washer"",""Dryer"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Essentials"",""Shampoo""",NA,$66.00 ,NA,NA,$100.00 ,$35.00 ,1,$25.00 ,1,10,yesterday,TRUE,29,59,89,364,1/4/2016,84,2014-06-30,2016-01-02,95,10,9,10,10,10,9,FALSE,NA,FALSE,moderate,FALSE,FALSE,1,4.55,Seattle
4933447,"Private Garden Suite, Bay View",none,25417834,Markus And Melissa,2014-12-31,within an hour,1.00,1.00,TRUE,Queen Anne,1,1,"    email  ,   phone  ,   reviews  ,   kba    ",TRUE,TRUE,"12th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,House,Private room,2,1,1,1,Real Bed,"""Wireless Internet"",""Free Parking on Premises"",""Heating"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",""Essentials"",""Shampoo""",NA,$99.00 ,NA,NA,$100.00 ,$15.00 ,1,$0.00 ,2,14,2 weeks ago,TRUE,29,52,82,171,1/4/2016,45,2015-03-16,2015-11-06,98,10,10,10,10,10,10,FALSE,NA,TRUE,moderate,FALSE,FALSE,1,4.58,Seattle
7735464,Queen Anne Getaway Near Seattle!,none,6170760,Sam,2013-04-30, , , ,FALSE,Queen Anne,1,1,"    email  ,   phone  ,   facebook  ,   reviews  ,   jumio    ",TRUE,TRUE,"11th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,Apartment,Private room,2,2,1,1,Futon,"""Cable TV"",""Wireless Internet"",""Kitchen"",""Free Parking on Premises"",""Pets live on this property"",""Dog(s)"",""Indoor Fireplace"",""Buzzer/Wireless Intercom"",""Heating"",""Family/Kid Friendly"",""Washer"",""Dryer"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",""Essentials"",""Shampoo""",NA,$200.00 ,NA,NA,NA,NA,1,$0.00 ,1,1125,5 months ago,TRUE,0,0,0,125,1/4/2016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,flexible,FALSE,FALSE,1,NA,Seattle
6291829,Grand Craftsman Home on Queen Anne,none,32713558,Kary,2015-05-05, , , ,FALSE,Queen Anne,1,1,"    email  ,   phone  ,   linkedin  ,   reviews  ,   kba    ",TRUE,TRUE,"1st Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,House,Entire home/apt,10,3.5,5,5,Real Bed,"""Cable TV"",""Wireless Internet"",""Kitchen"",""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",""Dog(s)"",""Cat(s)"",""Indoor Fireplace"",""Heating"",""Family/Kid Friendly"",""Washer"",""Dryer"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",""Shampoo""",NA,$700.00 ,"$4,100.00 ",NA,$500.00 ,$250.00 ,1,$0.00 ,3,30,2 months ago,TRUE,24,54,84,359,1/4/2016,5,2015-07-07,2015-08-10,85,10,9,9,9,8,8,FALSE,NA,FALSE,flexible,FALSE,FALSE,1,0.82,Seattle
9218403,Queen Anne View One Bedroom,none,14100483,Annie,2014-04-09,within a few hours,1.00,1.00,FALSE,NA,1,1,"    email  ,   phone  ,   reviews  ,   kba    ",TRUE,TRUE,"West Olympic Place, Seattle, WA 98119, United States",NA,West Queen Anne,Seattle,WA,98119,Condominium,Entire home/apt,1,1,1,1,Real Bed,"""Wireless Internet"",""Kitchen"",""Free Parking on Premises"",""Pets Allowed"",""Elevator in Building"",""Heating"",""Smoke Detector"",""Carbon Monoxide Detector"",""Essentials"",""Shampoo""",NA,$110.00 ,$750.00 ,"$2,500.00 ",NA,NA,1,$0.00 ,1,1125,4 weeks ago,TRUE,29,55,85,360,1/4/2016,1,2016-01-03,2016-01-03,100,10,10,10,10,10,10,FALSE,NA,FALSE,flexible,FALSE,FALSE,1,1,Seattle
4125779,Cozy Queen Anne Finished Basement,none,21401856,Nick,2014-09-16,within an hour,1.00,1.00,FALSE,Queen Anne,1,1,"    email  ,   phone  ,   facebook  ,   reviews    ",TRUE,FALSE,"2nd Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,House,Private room,3,1.5,1,2,Real Bed,"""Cable TV"",""Wireless Internet"",""Free Parking on Premises"",""Pets live on this property"",""Heating"",""Family/Kid Friendly"",""Dryer"",""Smoke Detector"",""First Aid Kit"",""Essentials"",""Shampoo""",NA,$99.00 ,$568.00 ,"$2,029.00 ",NA,$15.00 ,1,$10.00 ,1,1125,2 months ago,TRUE,30,60,90,365,1/4/2016,11,2014-09-27,2015-10-18,84,9,9,9,9,10,8,FALSE,NA,FALSE,moderate,FALSE,FALSE,1,0.71,Seattle
8942678,Lovely Queen Anne home,none,46675077,Susanna,2015-10-16,within a day,1.00,1.00,FALSE,Queen Anne,1,1,"    phone  ,   reviews    ",TRUE,FALSE,"1st Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,House,Entire home/apt,8,2,4,4,Real Bed,"""Wireless Internet"",""Kitchen"",""Free Parking on Premises"",""Indoor Fireplace"",""Heating"",""Family/Kid Friendly"",""Washer"",""Dryer"",""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher""",NA,$450.00 ,"$3,000.00 ",NA,NA,NA,1,$0.00 ,4,1125,2 months ago,TRUE,0,0,0,53,1/4/2016,1,2015-12-01,2015-12-01,100,10,10,10,10,10,10,FALSE,NA,FALSE,flexible,FALSE,FALSE,1,0.86,Seattle
10106055,"Cozy Lower Level, Upper Queen Anne",none,51860756,Maggie & Alex,2015-12-20, , , ,FALSE,Queen Anne,1,1,    phone    ,TRUE,FALSE,"West Galer Street, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,House,Private room,2,1,1,1,Real Bed,"""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets Allowed"",""Heating"",""Family/Kid Friendly"",""Washer"",""Dryer"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",""Essentials"",""Shampoo"",""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Laptop Friendly Workspace""",NA,$75.00 ,$350.00 ,NA,NA,NA,1,$0.00 ,1,1125,today,TRUE,30,60,90,365,1/4/2016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,flexible,FALSE,FALSE,1,NA,Seattle
6362362,Charming home on Queen Anne,none,33147763,Tracy,2015-05-11, , , ,FALSE,Queen Anne,1,1,"    email  ,   phone  ,   reviews    ",TRUE,FALSE,"10th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,House,Entire home/apt,5,2.5,3,3,Real Bed,"""Cable TV"",""Wireless Internet"",""Kitchen"",""Free Parking on Premises"",""Indoor Fireplace"",""Heating"",""Washer"",""Dryer"",""Smoke Detector"",""Carbon Monoxide Detector"",""Essentials""",NA,$600.00 ,NA,NA,$500.00 ,$150.00 ,1,$0.00 ,3,1125,3 months ago,TRUE,0,0,0,212,1/4/2016,1,2015-07-20,2015-07-20,100,10,10,10,10,10,10,FALSE,NA,FALSE,moderate,FALSE,FALSE,1,0.18,Seattle
3544550,VIEW-Monthly Rental Available,none,16708587,Jill,2014-06-12,within a few hours,0.67,1.00,FALSE,Queen Anne,2,2,"    email  ,   phone  ,   google  ,   reviews  ,   jumio    ",TRUE,TRUE,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,House,Entire home/apt,8,2.5,3,5,Real Bed,"""Cable TV"",""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",""Kitchen"",""Free Parking on Premises"",""Indoor Fireplace"",""Heating"",""Family/Kid Friendly"",""Washer"",""Dryer"",""Smoke Detector"",""Carbon Monoxide Detector"",""Essentials"",""Shampoo""",NA,$450.00 ,NA,NA,$500.00 ,$200.00 ,6,$50.00 ,4,1125,today,TRUE,0,3,33,293,1/4/2016,8,2015-07-04,2015-09-02,100,10,10,9,10,10,10,FALSE,NA,FALSE,strict,FALSE,FALSE,2,1.3,Seattle
9025039,Cute Bungalow-Close to Everything!,none,68155,Lori,2010-01-06,within a few hours,1.00,1.00,FALSE,Queen Anne,1,1,"    email  ,   phone  ,   facebook  ,   reviews  ,   jumio    ",TRUE,TRUE,"West McGraw Street, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,House,Entire home/apt,5,1,2,3,Real Bed,"""Cable TV"",""Wireless Internet"",""Kitchen"",""Free Parking on Premises"",""Heating"",""Family/Kid Friendly"",""Washer"",""Dryer"",""Smoke Detector"",""First Aid Kit"",""Essentials"",""Shampoo"",Hangers",NA,$150.00 ,NA,NA,$250.00 ,$35.00 ,1,$0.00 ,1,1125,3 days ago,TRUE,0,0,0,49,1/4/2016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,flexible,FALSE,FALSE,1,NA,Seattle
3200646,Micro Gypsy Wagon on Queen Anne,none,4016632,Jean-Marc,2012-10-30,within an hour,1.00,1.00,TRUE,Queen Anne,5,5,"    email  ,   phone  ,   facebook  ,   google  ,   linkedin  ,   reviews  ,   jumio    ",TRUE,TRUE,"West Wheeler Street, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,Camper/RV,Private room,2,1,1,1,Real Bed,"""Wireless Internet"",""Pets live on this property"",""Dog(s)"",""Heating"",""Family/Kid Friendly"",""Essentials""",NA,$45.00 ,$360.00 ,NA,$150.00 ,$25.00 ,1,$0.00 ,2,7,yesterday,TRUE,22,49,49,107,1/4/2016,80,2014-07-06,2016-01-02,95,10,10,10,10,9,9,FALSE,NA,FALSE,strict,TRUE,TRUE,5,4.38,Seattle
8859380,STUNNING VIEW of Puget Sound,none,3792761,Kimberly,2012-10-07,within an hour,1.00,1.00,FALSE,Queen Anne,5,5,"    email  ,   phone  ,   reviews  ,   jumio  ,   kba    ",TRUE,TRUE,"9th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,Apartment,Entire home/apt,6,2,3,3,Real Bed,"""Cable TV"",""Wireless Internet"",""Kitchen"",""Free Parking on Premises"",""Indoor Fireplace"",""Heating"",""Family/Kid Friendly"",""Washer"",""Dryer"",""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",""Shampoo"",Hangers,""Hair""Dryer"""",Iron,""Laptop Friendly Workspace""",NA,$300.00 ,NA,NA,$500.00 ,$125.00 ,1,$0.00 ,2,1125,4 days ago,TRUE,24,54,84,356,1/4/2016,6,2015-10-24,2016-01-02,100,10,10,10,10,10,10,FALSE,NA,TRUE,moderate,FALSE,FALSE,1,2.47,Seattle
4520099,Open Airy Queen Anne Condo,none,6184895,Lana,2013-05-01,within an hour,0.71,1.00,FALSE,Queen Anne,1,1,"    email  ,   phone  ,   facebook  ,   reviews  ,   kba    ",TRUE,TRUE,"14th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,Apartment,Entire home/apt,3,1,1,2,Real Bed,"""Cable TV"",""Wireless Internet"",""Wheelchair Accessible"",""Kitchen"",""Indoor Fireplace"",""Buzzer/Wireless Intercom"",""Heating"",""Family/Kid Friendly"",""Washer"",""Dryer"",""Smoke Detector"",""Essentials"",""Shampoo""",NA,$80.00 ,$500.00 ,NA,NA,$65.00 ,3,$50.00 ,2,1125,5 days ago,TRUE,0,1,30,305,1/4/2016,4,2015-01-04,2015-07-25,85,8,9,7,10,9,9,FALSE,NA,FALSE,strict,FALSE,FALSE,1,0.33,Seattle
